Word Gold_Standard Prediction

BUFFALO B-ORG O
13 O O
12 O O
1 O O
77 O O
76 O O
27 O O

BOSTON B-ORG B-ORG
10 O O
11 O O
4 O O
74 O O
84 O O
24 O O

MONTREAL B-ORG B-LOC
10 O O
14 O O
4 O O
96 O O
103 O O
24 O O

PITTSBURGH B-ORG O
9 O O
13 O O
3 O O
81 O O
91 O O
21 O O

OTTAWA B-ORG B-LOC
7 O O
11 O O
6 O O
62 O O
72 O O
20 O O

ATLANTIC B-LOC B-LOC
DIVISION O I-MISC

W O O
L O O
T O O
GF O O
GA O O
PTS O O

FLORIDA B-ORG B-PER
17 O O
4 O O
6 O O
83 O O
53 O O
40 O O

PHILADELPHIA B-ORG O
14 O O
12 O O
2 O O
75 O O
75 O O
30 O O

NEW B-ORG B-LOC
JERSEY I-ORG O
14 O O
10 O O
1 O O
61 O O
61 O O
29 O O

WASHINGTON B-ORG B-LOC
13 O O
12 O O
1 O O
69 O O
66 O O
27 O O

NY B-ORG O
RANGERS I-ORG O
10 O O
13 O O
5 O O
91 O O
81 O O
25 O O

NY B-ORG O
ISLANDERS I-ORG O
7 O O
11 O O
8 O O
65 O O
72 O O
22 O O

TAMPA B-ORG O
BAY I-ORG O
8 O O
15 O O
2 O O
69 O O
81 O O
18 O O

WESTERN O B-MISC
CONFERENCE O O

CENTRAL B-MISC <pad>
DIVISION I-MISC I-MISC

W O O
L O O
T O O
GF O O
GA O O
PTS O O

DETROIT B-ORG B-ORG
15 O O
9 O O
4 O O
81 O O
53 O O
34 O O

DALLAS B-ORG B-LOC
16 O O
9 O O
1 O O
74 O O
60 O O
33 O O

CHICAGO B-ORG B-LOC
12 O O
12 O O
3 O O
71 O O
67 O O
27 O O

ST B-ORG B-ORG
LOUIS I-ORG O
13 O O
14 O O
78 O O
81 O O
26 O O

TORONTO B-ORG B-LOC
11 O O
15 O O
76 O O
89 O O
22 O O

PHOENIX B-ORG O
9 O O
13 O O
4 O O
61 O O
74 O O
22 O O

PACIFIC B-LOC B-PER
DIVISION O I-MISC

W O O
L O O
T O O
GF O O
GA O O
PTS O O

COLORADO B-ORG B-ORG
17 O O
6 O O
4 O O
97 O O
56 O O
38 O O

VANCOUVER B-ORG B-LOC
14 O O
11 O O
1 O O
84 O O
83 O O
29 O O

EDMONTON B-ORG O
13 O O
14 O O
1 O O
94 O O
88 O O
27 O O

LOS B-ORG B-ORG
ANGELES I-ORG I-ORG
11 O O
13 O O
3 O O
72 O O
83 O O
25 O O

SAN B-ORG B-ORG
JOSE I-ORG I-LOC
10 O O
13 O O
4 O O
69 O O
87 O O
24 O O

CALGARY B-ORG B-LOC
10 O O
16 O O
2 O O
65 O O
77 O O
22 O O

ANAHEIM B-ORG O
9 O O
14 O O
4 O O
73 O O
86 O O
22 O O

FRIDAY O O
, O O
DECEMBER O O
6 O O

ANAHEIM B-ORG O
AT O O
BUFFALO B-LOC O

TORONTO B-ORG B-LOC
AT O O
NY B-ORG O
RANGERS I-ORG O

PITTSBURGH B-ORG O
AT O O
WASHINGTON B-LOC B-LOC

MONTREAL B-ORG B-LOC
AT O O
CHICAGO B-LOC B-LOC

PHILADELPHIA B-ORG O
AT O O
DALLAS B-LOC O

ST B-ORG B-ORG
LOUIS I-ORG O
AT O O
COLORADO B-LOC B-LOC

OTTAWA B-ORG B-LOC
AT O O
EDMONTON B-LOC O

NHL B-ORG O
ICE O O
HOCKEY O O
- O O
THURSDAY O O
'S O O
RESULTS O O
. O O

[ O O
CORRECTED O O
08:40 O O
GMT B-MISC O
] O O

NEW B-LOC B-LOC
YORK I-LOC I-LOC
1996-12-06 O O

( O O
corrects O O
headline O O
from O O
NBA B-ORG O
to O O
NHL B-ORG O
and O O
corrects O O
team O O
name O O
in O O
second O O
result O O
from O O
la B-ORG O
clippers I-ORG O
to O O
ny B-ORG O
islanders I-ORG O
. O O

) O O

results O O
of O O
national B-ORG O
hockey I-ORG O

league B-ORG I-MISC
games O O
on O O
thursday O O
( O O
home O O
team O O
in O O
CAPS O O
) O O
: O O

hartford B-ORG O
4 O O
BOSTON B-ORG O
2 O O

FLORIDA B-ORG B-PER
4 O O
ny B-ORG O
islanders I-ORG O
2 O O

NEW B-ORG B-LOC
JERSEY I-ORG O
2 O O
calgary B-ORG O
1 O O

phoenix B-ORG O
3 O O
ST B-ORG O
LOUIS I-ORG O

tampa B-ORG O
bay I-ORG O
2 O O
LOS B-ORG O
ANGELES I-ORG O
1 O O

NFL B-ORG O
AMERICAN O O
FOOTBALL-COLTS O O
CLOBBER O O
EAGLES B-ORG O
TO O O
STAY O O
IN O O
PLAYOFF O O
HUNT O O
. O O

INDIANAPOLIS B-LOC O
1996-12-06 O O

the O O
injury-plagued O O
indianapolis B-ORG O
colts I-ORG O
lost O O
another O O
quarterback O O
on O O
thursday O O
but O O
last O O
year O O
's O O
AFC O O
finalists O O
rallied O O
together O O
to O O
shoot O O
down O O
the O O
philadelphia B-ORG O
eagles I-ORG O
37-10 O O
in O O
a O O
showdown O O
of O O
playoff O O
contenders O O
. O O

marshall B-PER B-PER
faulk I-PER O
rushed O O
for O O
101 O O
yards O O
and O O
two O O
touchdowns O O
and O O
jason B-PER B-PER
belser I-PER O
returned O O
an O O
interception O O
44 O O
yards O O
for O O
a O O
score O O
as O O
the O O
colts B-ORG O
improved O O
to O O
8-6 O O
, O O
the O O
same O O
mark O O
as O O
the O O
eagles B-ORG O
, O O
who O O
lost O O
for O O
the O O
fourth O O
time O O
in O O
five O O
games O O
. O O

paul B-PER B-PER
justin I-PER I-PER
, O O
starting O O
for O O
the O O
sidelined O O
jim B-PER O
harbaugh I-PER O
, O O
was O O
14-of-23 O O
for O O
144 O O
yards O O
and O O
a O O
touchdown O O
for O O
the O O
the O O
colts B-ORG O
, O O
who O O
played O O
their O O
last O O
home O O
game O O
of O O
the O O
season O O
. O O

indianapolis B-LOC B-LOC
closes O O
with O O
games O O
at O O
kansas B-LOC B-LOC
city I-LOC O
and O O
cincinnati B-LOC O
. O O

the O O
eagles B-ORG O
were O O
held O O
without O O
a O O
touchdown O O
until O O
the O O
final O O
five O O
seconds O O
. O O

philadelphia B-LOC B-LOC
, O O
which O O
fell O O
from O O
an O O
NFC O O
east O O
tie O O
with O O
the O O
dallas B-ORG O
cowboys I-ORG O
and O O
washington B-ORG B-LOC
redskins I-ORG O
, O O
go O O
on O O
the O O
road O O
against O O
the O O
new B-ORG O
york I-ORG I-LOC
jets I-ORG O
and O O
then O O
entertain O O
arizona B-ORG O
. O O

the O O
loss O O
by O O
philadelphia B-ORG O
allowed O O
the O O
idle O O
green B-ORG O
bay I-ORG O
packers I-ORG O
( O O
10-3 O O
) O O
to O O
clinch O O
the O O
first O O
NFC O O
playoff O O
berth O O
. O O

the O O
colts B-ORG O
won O O
despite O O
the O O
absence O O
of O O
injured O O
starting O O
defensive O O
tackle O O
tony B-PER O
siragusa I-PER O
, O O
cornerback O O
ray B-PER O
buchanan I-PER O
and O O
linebacker O O
quentin B-PER O
coryatt I-PER O
. O O

faulk B-PER O
carried O O
16 O O
times O O
, O O
including O O
a O O
13-yard O O
TD O O
run O O
in O O
the O O
first O O
quarter O O
and O O
a O O
seven-yard O O
score O O
early O O
in O O
the O O
final O O
period O O
. O O

justin B-PER B-PER
made O O
his O O
second O O
straight O O
start O O
for O O
harbaugh B-PER O
, O O
who O O
has O O
a O O
knee O O
injury O O
. O O

justin B-PER B-PER
suffered O O
a O O
sprained O O
right O O
shoulder O O
in O O
the O O
third O O
quarter O O
and O O
did O O
not O O
return O O
. O O

third-stringer O O
kerwin B-PER O
bell I-PER O
, O O
a O O
1988 O O
draft O O
choice O O
of O O
the O O
miami B-ORG B-LOC
dolphins I-ORG O
, O O
made O O
his O O
NFL B-ORG O
debut O O
and O O
was O O
5-of-5 O O
for O O
75 O O
yards O O
, O O
including O O
a O O
20-yard O O
scoring O O
strike O O
to O O
marvin B-PER O
harrison I-PER O
in O O
the O O
third O O
period O O
. O O

A O O
39-yard O O
interference O O
penalty O O
against O O
philadelphia B-LOC O
's O O
troy B-PER O
vincent I-PER I-PER
set O O
up O O
faulk B-PER O
's O O
first O O
score O O
around O O
left O O
end O O
that O O
capped O O
an O O
80-yard O O
march O O
5:17 O O
into O O
the O O
game O O
and O O
the O O
rout O O
was O O
on O O
. O O

eagles B-ORG O
quarterback O O
ty B-PER O
detmer I-PER O
was O O
17-of-34 O O
for O O
182 O O
yards O O
before O O
he O O
was O O
benched O O
. O O

ricky B-PER B-PER
watters I-PER O
, O O
who O O
leads O O
the O O
NFC O O
in O O
rushing O O
, O O
left O O
the O O
game O O
after O O
getting O O
kneed O O
to O O
the O O
helmet O O
after O O
gaining O O
33 O O
yards O O
on O O
seven O O
carries O O
. O O

NBA B-ORG O
BASKETBALL O O
- O O
STANDINGS O O
AFTER O O
THURSDAY O O
'S O O
GAMES O O
. O O

NEW B-LOC B-LOC
YORK I-LOC I-LOC
1996-12-06 O O

standings O O
of O O
national B-ORG O

basketball B-ORG O
association I-ORG I-ORG
teams O O
after O O
games O O
played O O
on O O
thursday O O

( O O
tabulate O O
under O O
won O O
, O O
lost O O
, O O
percentage O O
, O O
games O O
behind O O
) O O
: O O

EASTERN O B-MISC
CONFERENCE O O

ATLANTIC B-LOC B-LOC
DIVISION O I-MISC

W O O
L O O
PCT O O
GB O O

MIAMI B-ORG B-LOC
14 O O
4 O O
.778 O O
- O O

NEW B-ORG B-LOC
YORK I-ORG I-LOC
10 O O
6 O O
.625 O O
3 O O

ORLANDO B-ORG O
8 O O
6 O O
.571 O O
4 O O

WASHINGTON B-ORG B-LOC
7 O O
9 O O
.438 O O
6 O O

PHILADELPHIA B-ORG O
7 O O
10 O O
.412 O O
6 O O
1/2 O O

BOSTON B-ORG B-ORG
4 O O
12 O O
.250 O O
9 O O

NEW B-ORG B-LOC
JERSEY I-ORG O
3 O O
10 O O
.231 O O
8 O O
1/2 O O

CENTRAL O <pad>
DIVISION O I-MISC

W O O
L O O
PCT O O
GB O O

CHICAGO B-ORG B-LOC
17 O O
1 O O
.944 O O
- O O

DETROIT B-ORG B-ORG
13 O O
3 O O
.813 O O
3 O O

CLEVELAND B-ORG B-ORG
11 O O
5 O O
.688 O O
5 O O

ATLANTA B-ORG B-ORG
10 O O
8 O O
.556 O O
7 O O

CHARLOTTE B-ORG O
8 O O
8 O O
.500 O O
8 O O

MILWAUKEE B-ORG O
8 O O
8 O O
.500 O O
8 O O

INDIANA B-ORG O
7 O O
8 O O
.467 O O
8 O O
1/2 O O

TORONTO B-ORG B-LOC
6 O O
11 O O
.353 O O
10 O O
1/2 O O

WESTERN O B-MISC
CONFERENCE O O

MIDWEST O O
DIVISION O O

W O O
L O O
PCT O O
GB O O

HOUSTON B-ORG B-LOC
16 O O
2 O O
.889 O O
- O O

UTAH B-ORG O
14 O O
2 O O
.875 O O
1 O O

MINNESOTA B-ORG B-ORG
7 O O
10 O O
.412 O O
8 O O
1/2 O O

DALLAS B-ORG B-LOC
6 O O
11 O O
.353 O O
9 O O
1/2 O O

DENVER B-ORG O
5 O O
14 O O
.263 O O
11 O O
1/2 O O

SAN B-ORG B-ORG
ANTONIO I-ORG O
3 O O
13 O O
.188 O O
12 O O

VANCOUVER B-ORG B-LOC
2 O O
16 O O
.111 O O
14 O O

PACIFIC B-LOC B-PER
DIVISION O I-MISC

W O O
L O O
PCT O O
GB O O

SEATTLE B-ORG B-ORG
15 O O
5 O O
.750 O O
- O O

LA B-ORG B-ORG
LAKERS I-ORG O
13 O O
7 O O
.650 O O
2 O O

PORTLAND B-ORG O
11 O O
8 O O
.579 O O
3 O O
1/2 O O

LA B-ORG B-ORG
CLIPPERS I-ORG O
7 O O
11 O O
.389 O O
7 O O

GOLDEN B-ORG O
STATE I-ORG O
6 O O
12 O O
.333 O O
8 O O

SACRAMENTO B-ORG O
6 O O
12 O O
.333 O O
8 O O

PHOENIX B-ORG O
2 O O
14 O O
.125 O O
11 O O

FRIDAY O O
, O O
DECEMBER O O
6 O O

NEW B-ORG B-LOC
JERSEY I-ORG O
AT O O
BOSTON B-LOC O

CLEVELAND B-ORG B-ORG
AT O O
DETROIT B-LOC O

NEW B-ORG B-LOC
YORK I-ORG I-LOC
AT O O
MIAMI B-LOC B-LOC

PHOENIX B-ORG O
AT O O
SACRAMENTO B-LOC O

VANCOUVER B-ORG B-LOC
AT O O
SAN B-LOC B-LOC
ANTONIO I-LOC O

MINNESOTA B-ORG B-ORG
AT O O
UTAH B-LOC O

CHARLOTTE B-ORG O
AT O O
PORTLAND B-LOC O

INDIANA B-ORG O
AT O O
GOLDEN B-LOC O
STATE I-LOC O

ORLANDO B-ORG O
AT O O
LA B-LOC O
LAKERS I-LOC O

NFL B-ORG O
AMERICAN O O
FOOTBALL-STANDINGS O O
AFTER O O
THURSDAY O O
'S O O
GAME O O
. O O

NEW B-LOC B-LOC
YORK I-LOC I-LOC
1996-12-05 O O

national B-ORG B-ORG
football I-ORG <pad>
league I-ORG O

standings O O
after O O
thursday O O
's O O
game O O
( O O
tabulate O O
under O O
won O O
, O O
lost O O
, O O

tied O O
, O O
points O O
for O O
and O O
points O O
against O O
) O O
: O O

AMERICAN B-MISC B-MISC
FOOTBALL O O
CONFERENCE O O

EASTERN O B-MISC
DIVISION O I-MISC

W O O
L O O
T O O
PF O O
PA O O

NEW B-ORG B-LOC
ENGLAND I-ORG I-LOC
9 O O
4 O O
355 O O
269 O O

BUFFALO B-ORG O
9 O O
4 O O
267 O O
215 O O

INDIANAPOLIS B-ORG O
8 O O
6 O O
269 O O
284 O O

MIAMI B-ORG B-LOC
6 O O
7 O O
285 O O
266 O O

NY B-ORG O
JETS I-ORG O
1 O O
12 O O
221 O O
368 O O

CENTRAL O <pad>
DIVISION O I-MISC

W O O
L O O
T O O
PF O O
PA B-ORG O

PITTSBURGH B-ORG O
9 O O
4 O O
299 O O
211 O O

HOUSTON B-ORG B-LOC
7 O O
6 O O
291 O O
254 O O

JACKSONVILLE B-ORG B-LOC
6 O O
7 O O
263 O O
288 O O

CINCINNATI B-ORG B-ORG
5 O O
8 O O
299 O O
318 O O

BALTIMORE B-ORG B-LOC
4 O O
9 O O
320 O O
369 O O

WESTERN O B-MISC
DIVISION O I-MISC

W O O
L O O
T O O
PF O O
PA O O

X-DENVER B-MISC O
12 O O
1 O O
351 O O
199 O O

KANSAS B-ORG B-LOC
CITY I-ORG I-ORG
9 O O
4 O O
262 O O
230 O O

SAN B-ORG B-ORG
DIEGO I-ORG I-LOC
7 O O
6 O O
277 O O
323 O O

OAKLAND B-ORG B-ORG
6 O O
7 O O
274 O O
234 O O

SEATTLE B-ORG B-ORG
5 O O
8 O O
250 O O
317 O O

NATIONAL O B-LOC
FOOTBALL O O
CONFERENCE O O

EASTERN O B-MISC
DIVISION O I-MISC

W O O
L O O
T O O
PF O O
PA O O

DALLAS B-ORG B-LOC
8 O O
5 O O
254 O O
201 O O

WASHINGTON B-ORG B-LOC
8 O O
5 O O
291 O O
251 O O

PHILADELPHIA B-ORG O
8 O O
6 O O
313 O O
302 O O

ARIZONA B-ORG O
6 O O
7 O O
248 O O
332 O O

NY B-ORG O
GIANTS I-ORG <pad>
5 O O
8 O O
200 O O
250 O O

CENTRAL O <pad>
DIVISION O I-MISC

W O O
L O O
T O O
PF O O
PA O O

Y-GREEN B-MISC O
BAY I-MISC O
10 O O
3 O O
346 O O
191 O O

MINNESOTA B-ORG B-ORG
7 O O
6 O O
243 O O
245 O O

CHICAGO B-ORG B-LOC
5 O O
8 O O
202 O O
248 O O

DETROIT B-ORG B-ORG
5 O O
8 O O
263 O O
289 O O

TAMPA B-ORG O
BAY I-ORG O
4 O O
9 O O
153 O O
243 O O

WESTERN O B-MISC
DIVISION O I-MISC

W O O
L O O
T O O
PF O O
PA O O

SAN B-ORG B-ORG
FRANCISCO I-ORG I-LOC
10 O O
3 O O
325 O O
198 O O

CAROLINA B-ORG O
9 O O
4 O O
292 O O
164 O O

ST B-ORG B-ORG
LOUIS I-ORG O
4 O O
9 O O
246 O O
334 O O

ATLANTA B-ORG B-ORG
2 O O
11 O O
234 O O
393 O O

NEW B-ORG B-LOC
ORLEANS I-ORG O
2 O O
11 O O
184 O O
291 O O

X O B-PER
-- O O
CLINCHED O O
DIVISION O O
TITLE O O

Y O I-LOC
-- O O
CLINCHED O O
PLAYOFF O O
BERTH O O

SUNDAY O O
, O O
DECEMBER O O
8 O O

ST B-ORG B-ORG
LOUIS I-ORG O
AT O O
CHICAGO B-LOC B-LOC

BALTIMORE B-ORG B-LOC
AT O O
CINCINNATI B-LOC O

DENVER B-ORG O
AT O O
GREEN B-LOC B-LOC
BAY I-LOC O

JACKSONVILLE B-ORG B-LOC
AT O O
HOUSTON B-LOC B-LOC

NY B-ORG O
GIANTS I-ORG <pad>
AT O O
MIAMI B-LOC O

ATLANTA B-ORG B-ORG
AT O O
NEW B-LOC B-LOC
ORLEANS I-LOC O

SAN B-ORG B-ORG
DIEGO I-ORG I-LOC
AT O O
PITTSBURGH B-LOC O

WASHINGTON B-ORG B-LOC
AT O O
TAMPA B-LOC O
BAY I-LOC O

DALLAS B-ORG B-LOC
AT O O
ARIZONA B-LOC O

NY B-ORG O
JETS I-ORG O
AT O O
NEW B-LOC B-LOC
ENGLAND I-LOC O

BUFFALO B-ORG O
AT O O
SEATTLE B-LOC O

CAROLINA B-ORG O
AT O O
SAN B-LOC B-LOC
FRANCISCO I-LOC O

MINNESOTA B-ORG B-ORG
AT O O
DETROIT B-LOC O

MONDAY O O
, O O
DECEMBER O O
9 O O

KANSAS B-ORG B-LOC
CITY I-ORG I-ORG
AT O O
OAKLAND B-LOC O

NFL B-ORG O
AMERICAN O O
FOOTBALL-THURSDAY O O
'S O O
RESULT O O
. O O

NEW B-LOC B-LOC
YORK I-LOC I-LOC
1996-12-05 O O

result O O
of O O
national B-ORG O
football B-LOC O

league B-LOC I-MISC
game O O
on O O
thursday O O
( O O
home O O
team O O
in O O
CAPS O O
) O O
: O O

INDIANAPOLIS B-ORG O
37 O O
philadelphia B-ORG B-LOC
10 O O

NCAA B-ORG O
AMERICAN O O
FOOTBALL-OHIO B-MISC O
STATE I-MISC O
'S O O
PACE B-PER O
FIRST O O
REPEAT O O
LOMBARDI B-MISC O
AWARD I-MISC O
WINNER O O
. O O

HOUSTON B-LOC B-LOC
1996-12-05 O O

ohio B-ORG B-LOC
state I-ORG O
left O O
tackle O O
orlando B-PER O
pace I-PER O
became O O
the O O
first O O
repeat O O
winner O O
of O O
the O O
lombardi B-MISC O
award I-MISC O
thursday O O
night O O
when O O
the O O
rotary B-ORG O
club I-ORG O
of O O
houston B-LOC B-LOC
again O O
honoured O O
him O O
as O O
college O O
football O O
's O O
lineman O O
of O O
the O O
year O O
. O O

pace B-PER O
, O O
a O O
junior O O
, O O
helped O O
ohio B-ORG B-LOC
state I-ORG O
to O O
a O O
10-1 O O
record O O
and O O
a O O
berth O O
in O O
the O O
rose B-MISC O
bowl I-MISC O
against O O
arizona B-ORG O
state I-ORG O
. O O

he O O
was O O
the O O
most O O
dominant O O
offensive O O
lineman O O
in O O
the O O
country O O
and O O
also O O
played O O
defensive O O
line O O
in O O
goal-line O O
situations O O
. O O

last O O
year O O
, O O
pace B-PER O
became O O
the O O
first O O
sophomore O O
to O O
win O O
the O O
award O O
since O O
its O O
inception O O
in O O
1970 O O
. O O

pace B-PER O
outdistanced O O
three O O
senior O O
finalists O O
-- O O
virginia B-ORG B-LOC
tech I-ORG O
defensive O O
end O O
cornell B-PER O
brown I-PER O
, O O
arizona B-ORG O
state I-ORG O
offensive O O
tackle O O
juan B-PER B-PER
roque I-PER O
and O O
defensive O O
end O O
jared B-PER O
tomich I-PER O
of O O
nebraska B-ORG O
. O O

the O O
lombardi B-MISC O
award I-MISC O
is O O
presented O O
to O O
the O O
college O O
lineman O O
who O O
, O O
in O O
addition O O
to O O
outstanding O O
effort O O
on O O
the O O
field O O
, O O
best O O
exemplifies O O
the O O
characteristics O O
and O O
discipline O O
of O O
vince B-PER O
lombardi I-PER O
, O O
legendary O O
coach O O
of O O
the O O
green B-ORG O
bay I-ORG O
packers I-ORG O
. O O

SOCCER O O
- O O
DUTCH B-MISC O
FIRST O O
DIVISION O O
RESULTS O O
/ O O
STANDINGS O O
. O O

AMSTERDAM B-LOC B-LOC
1996-12-06 O O

result O O
of O O
dutch B-MISC O
first O O
division O O

soccer O O
match O O
played O O
on O O
friday O O
: O O

RKC B-ORG B-ORG
waalwijk I-ORG O
1 O O
willem B-ORG O
II I-ORG O
tilburg I-ORG O
2 O O

standings O O
( O O
tabulate O O
under O O
played O O
, O O
won O O
, O O
drawn O O
, O O
lost O O
, O O
goals O O

for O O
, O O
goals O O
against O O
, O O
points O O
) O O
: O O

PSV B-ORG B-ORG
eindhoven I-ORG O
18 O O
13 O O
3 O O
2 O O
52 O O
14 O O
42 O O

feyenoord B-ORG O
17 O O
11 O O
3 O O
3 O O
29 O O
20 O O
36 O O

twente B-ORG O
enschede I-ORG O
18 O O
10 O O
4 O O
4 O O
28 O O
15 O O
34 O O

graafschap B-ORG O
doetinchem I-ORG O
18 O O
9 O O
3 O O
6 O O
29 O O
22 O O
30 O O

vitesse B-ORG B-ORG
arnhem I-ORG O
18 O O
8 O O
5 O O
5 O O
29 O O
21 O O
29 O O

ajax B-ORG B-ORG
amsterdam I-ORG I-ORG
18 O O
7 O O
8 O O
3 O O
23 O O
16 O O
29 O O

heerenveen B-ORG O
18 O O
7 O O
7 O O
4 O O
30 O O
20 O O
28 O O

roda B-ORG B-ORG
JC I-ORG I-ORG
kerkrade I-ORG O
17 O O
7 O O
6 O O
4 O O
19 O O
21 O O
27 O O

utrecht B-ORG O
18 O O
4 O O
10 O O
4 O O
26 O O
24 O O
22 O O

volendam B-ORG O
18 O O
5 O O
6 O O
7 O O
20 O O
23 O O
21 O O

sparta B-ORG B-ORG
rotterdam I-ORG O
19 O O
6 O O
3 O O
10 O O
21 O O
25 O O
21 O O

NAC B-ORG B-ORG
breda I-ORG O
18 O O
6 O O
3 O O
9 O O
17 O O
29 O O
21 O O

willem B-ORG O
II I-ORG O
tilburg I-ORG O
18 O O
5 O O
4 O O
9 O O
19 O O
31 O O
19 O O

groningen B-ORG O
18 O O
4 O O
6 O O
8 O O
20 O O
31 O O
18 O O

AZ B-ORG B-ORG
alkmaar I-ORG O
18 O O
5 O O
2 O O
11 O O
16 O O
23 O O
17 O O

fortuna B-ORG B-ORG
sittard I-ORG O
17 O O
3 O O
7 O O
7 O O
14 O O
28 O O
16 O O

NEC B-ORG B-ORG
nijmegen I-ORG O
18 O O
3 O O
7 O O
8 O O
19 O O
32 O O
16 O O

RKC B-ORG B-ORG
waalwijk I-ORG O
19 O O
3 O O
5 O O
11 O O
18 O O
33 O O
14 O O

SOCCER O O
- O O
GERMAN B-MISC O
FIRST O O
DIVISION O O
RESULTS O O
/ O O
STANDINGS O O
. O O

BONN B-LOC B-LOC
1996-12-06 O O

results O O
of O O
german B-MISC B-MISC
first O O
division O O

soccer O O
matches O O
played O O
on O O
friday O O
: O O

bochum B-ORG O
2 O O
bayer B-ORG O
leverkusen I-ORG O
2 O O

werder B-ORG O
bremen I-ORG O
1 O O
1860 B-ORG O
munich I-ORG O
1 O O

karlsruhe B-ORG O
3 O O
freiburg B-ORG O

schalke B-ORG O
2 O O
hansa B-ORG O
rostock I-ORG O

standings O O
( O O
tabulated O O
under O O
played O O
, O O
won O O
, O O
drawn O O
, O O
lost O O
, O O
goals O O

for O O
goals O O
against O O
points O O
) O O
: O O

bayer B-ORG B-ORG
leverkusen I-ORG O
17 O O
10 O O
4 O O
3 O O
38 O O
22 O O
34 O O

bayern B-ORG B-ORG
munich I-ORG I-ORG
16 O O
9 O O
6 O O
1 O O
26 O O
14 O O
33 O O

vfb B-ORG O
stuttgart I-ORG O
16 O O
9 O O
4 O O
3 O O
39 O O
17 O O
31 O O

borussia B-ORG O
dortmund I-ORG O
16 O O
9 O O
4 O O
3 O O
33 O O
17 O O
31 O O

karlsruhe B-ORG O
17 O O
8 O O
4 O O
5 O O
30 O O
20 O O
28 O O

vfl B-ORG O
bochum I-ORG O
16 O O
7 O O
6 O O
3 O O
23 O O
21 O O
27 O O

1. B-ORG O
FC I-ORG B-PER
cologne I-ORG I-ORG
16 O O
8 O O
2 O O
6 O O
31 O O
27 O O
26 O O

schalke B-ORG O
04 I-ORG O
17 O O
7 O O
4 O O
6 O O
25 O O
26 O O
25 O O

werder B-ORG O
bremen I-ORG O
17 O O
6 O O
4 O O
7 O O
29 O O
28 O O
22 O O

MSV B-ORG B-ORG
duisburg I-ORG O
16 O O
5 O O
4 O O
7 O O
16 O O
22 O O
19 O O

SV B-ORG B-ORG
1860 I-ORG O
munich I-ORG O
17 O O
4 O O
6 O O
7 O O
25 O O
31 O O
18 O O

FC B-ORG B-ORG
st. I-ORG O
pauli I-ORG O
15 O O
5 O O
3 O O
7 O O
21 O O
28 O O
18 O O

fortuna B-ORG B-ORG
dusseldorf I-ORG O
16 O O
5 O O
3 O O
8 O O
13 O O
24 O O
18 O O

hamburger B-ORG O
SV I-ORG O
16 O O
4 O O
5 O O
7 O O
20 O O
25 O O
17 O O

arminia B-ORG O
bielefeld I-ORG O
16 O O
4 O O
4 O O
8 O O
18 O O
28 O O
16 O O

FC B-ORG B-ORG
hansa I-ORG O
rostock I-ORG O
17 O O
4 O O
3 O O
10 O O
19 O O
26 O O
15 O O

borussia B-ORG O
monchengladbach I-ORG O
16 O O
4 O O
3 O O
9 O O
12 O O
22 O O
15 O O

SC B-ORG B-ORG
freiburg I-ORG O
17 O O
4 O O
1 O O
12 O O
20 O O
40 O O
13 O O

SOCCER O O
- O O
FRENCH B-MISC O
LEAGUE O O
SUMMARIES O O
. O O

PARIS B-LOC B-LOC
1996-12-06 O O

summaries O O
of O O
french B-MISC B-MISC
first O O
division O O

matches O O
on O O
friday O O
: O O

lens B-ORG B-ORG
nantes B-ORG <pad>
4 O O
( O O
japhet B-PER O
n'doram I-PER O
7 O O
, O O
claude B-PER O
makelele I-PER O
42 O O
, O O
jocelyn B-PER O

gourvennec B-PER O
67 O O
, O O
christophe B-PER O
pignol I-PER O
72 O O
) O O
. O O

halftime O O
0-2 O O
. O O

attendance O O
: O O

15,000 O O
. O O

paris B-ORG B-LOC
st I-ORG I-LOC
germain I-ORG O
1 O O
( O O
bruno B-PER O
n'gotty I-PER O
2 O O
) O O
nancy B-ORG O
2 O O
( O O
paul B-PER B-PER
fischer I-PER O

70 O O
, O O
phil B-PER B-PER
gray I-PER I-PER
89 O O
) O O
. O O

1-0 O O
. O O

30,000 O O
. O O

SOCCER O O
- O O
DUTCH B-MISC O
FIRST O O
DIVISION O O
SUMMARIES O O
. O O

AMSTERDAM B-LOC B-LOC
1996-12-06 O O

summary O O
of O O
dutch B-MISC O
first O O
division O O

soccer O O
match O O
played O O
on O O
friday O O
: O O

RKC B-ORG B-ORG
waalwijk I-ORG O
1 O O
( O O
starbuck O O
76 O O
) O O
willem B-ORG O
II I-ORG O
tilburg I-ORG O
2 O O
( O O
konterman B-PER O
45 O O
, O O

van B-PER I-PER
der I-PER I-PER
vegt I-PER O
77 O O
) O O
. O O

